Order_ID,Customer_ID,Order_Time,Day_of_Week,Weather_Condition,Temperature_C,Menu_Item,Category,Price,Delivery_Time_Minutes,Dine_In_or_Takeaway,Customer_Satisfaction_Rating,Total_Orders_Per_Hour,Staff_On_Duty,Table_Occupancy_Rate,Kitchen_Preparation_Time_Minutes,Total_Revenue,Peak_Hours,Promotions_Applied,Delivery_Platform_Used,Online_vs_Walkin,Holiday_or_Event
30001,1127,2024-01-01 00:00:00,Monday,Sunny,13,Burger,Breakfast,27.52,46,Delivery,2,45,12,76,15,853.61,Yes,Yes,UberEats,Online,No
30002,1460,2024-01-01 01:00:00,Monday,Sunny,34,Dessert,Breakfast,36.33,38,Delivery,2,9,2,51,6,205.52,No,Yes,Swiggy,Online,No
30003,861,2024-01-01 02:00:00,Monday,Sunny,25,Pizza,Dinner,47.95,23,Dine-in,4,23,11,59,16,331.12,No,No,Zomato,Walk-in,Yes
30004,1295,2024-01-01 03:00:00,Monday,Sunny,17,Salad,Dinner,21.5,16,Dine-in,2,20,7,97,29,480.71,No,No,UberEats,Walk-in,No
30005,1131,2024-01-01 04:00:00,Monday,Sunny,14,Pasta,Dinner,12.77,50,Dine-in,1,22,3,57,19,505.91,No,Yes,UberEats,Walk-in,No
30006,1096,2024-01-01 05:00:00,Monday,Sunny,10,Coffee,Dinner,13.33,37,Takeaway,4,16,6,58,27,370.08,No,No,UberEats,Online,No
30007,1725,2024-01-01 06:00:00,Monday,Sunny,15,Pizza,Lunch,5.92,22,Dine-in,2,20,2,62,10,333.33,No,Yes,Zomato,Walk-in,No
30008,1045,2024-01-01 07:00:00,Monday,Sunny,8,Dessert,Breakfast,29.99,25,Dine-in,4,9,2,57,9,198.28,No,No,UberEats,Walk-in,No
30009,1639,2024-01-01 08:00:00,Monday,Sunny,30,Pasta,Dessert,46.81,30,Dine-in,1,7,6,76,19,97.68,No,No,Zomato,Walk-in,Yes
30010,122,2024-01-01 09:00:00,Monday,Sunny,18,Coffee,Breakfast,37.09,13,Takeaway,2,11,7,95,15,151.73,No,Yes,Swiggy,Walk-in,No
30011,467,2024-01-01 10:00:00,Monday,Sunny,34,Burger,Lunch,49.68,48,Dine-in,2,36,12,91,19,913.33,Yes,Yes,Swiggy,Walk-in,No
30012,1239,2024-01-01 11:00:00,Monday,Sunny,21,Pizza,Lunch,45.93,44,Takeaway,1,35,8,70,23,615.69,Yes,No,Swiggy,Walk-in,No
30013,331,2024-01-01 12:00:00,Monday,Sunny,24,Sushi,Lunch,27.13,24,Takeaway,2,18,12,90,5,376.06,No,No,Zomato,Online,No
30014,1483,2024-01-01 13:00:00,Monday,Rainy,6,Burger,Dinner,26.89,35,Delivery,1,28,5,83,9,443.94,No,Yes,Swiggy,Walk-in,No
30015,88,2024-01-01 14:00:00,Monday,Cloudy,14,Pasta,Beverage,33.28,55,Dine-in,2,37,5,78,8,544.53,Yes,No,Swiggy,Online,No
30016,1397,2024-01-01 15:00:00,Monday,Rainy,7,Salad,Dessert,9.99,16,Dine-in,2,9,6,79,13,230.38,No,No,UberEats,Walk-in,No
30017,1124,2024-01-01 16:00:00,Monday,Sunny,11,Sushi,Beverage,32.35,27,Delivery,3,12,7,93,10,310.6,No,Yes,None,Walk-in,No
30018,872,2024-01-01 17:00:00,Monday,Snowy,11,Steak,Dessert,25.88,34,Dine-in,4,6,9,65,27,160.35,No,Yes,None,Walk-in,No
30019,1688,2024-01-01 18:00:00,Monday,Rainy,5,Pizza,Beverage,33.92,46,Dine-in,5,43,10,50,15,1164.82,Yes,No,Swiggy,Walk-in,No
30020,131,2024-01-01 19:00:00,Monday,Sunny,12,Dessert,Breakfast,30.43,30,Dine-in,3,42,8,94,7,765.56,Yes,Yes,None,Online,No
30021,1686,2024-01-01 20:00:00,Monday,Sunny,27,Steak,Breakfast,18.97,17,Takeaway,3,46,11,96,27,1204.25,Yes,No,UberEats,Online,No
30022,1333,2024-01-01 21:00:00,Monday,Snowy,5,Burger,Breakfast,32.35,29,Dine-in,4,39,4,78,29,659.83,Yes,Yes,UberEats,Online,No
30023,770,2024-01-01 22:00:00,Monday,Sunny,12,Dessert,Breakfast,21.47,27,Takeaway,3,42,7,91,13,464.12,Yes,No,None,Walk-in,No
30024,344,2024-01-01 23:00:00,Monday,Sunny,18,Pizza,Dinner,13.76,28,Dine-in,1,38,10,79,15,903.9,Yes,No,UberEats,Walk-in,No
30025,1516,2024-01-02 00:00:00,Tuesday,Rainy,18,Pizza,Dessert,35.38,12,Dine-in,3,34,7,71,13,475.29,Yes,No,Zomato,Walk-in,No
30026,1438,2024-01-02 01:00:00,Tuesday,Snowy,6,Sushi,Breakfast,18.79,47,Takeaway,5,27,13,64,5,513.79,No,No,UberEats,Walk-in,Yes
30027,806,2024-01-02 02:00:00,Tuesday,Sunny,12,Sushi,Beverage,45.01,27,Takeaway,1,8,12,69,17,106.22,No,No,Zomato,Walk-in,Yes
30028,386,2024-01-02 03:00:00,Tuesday,Sunny,23,Sushi,Breakfast,13.97,36,Dine-in,4,39,11,87,5,695.4,Yes,Yes,Zomato,Online,Yes
30029,1216,2024-01-02 04:00:00,Tuesday,Sunny,14,Sushi,Dinner,32.01,24,Dine-in,4,18,9,72,22,498.55,No,No,UberEats,Online,Yes
30030,956,2024-01-02 05:00:00,Tuesday,Rainy,11,Salad,Lunch,30.72,55,Takeaway,4,26,9,80,15,578.84,No,No,Zomato,Walk-in,No
